identifier	question
chapter-007	But who could show a cheek like Queequeg?
chapter-009	But what then?
chapter-008	Can Herr Alexander perform a feat like that?
chapter-008	Whence came they?
chapter-008	how planted upon this once scraggy scoria of a country?
chapter-028	What doom was his own father''s?
chapter-028	Where, in the bottomless deeps, could he find the torn limbs of his brother?
chapter-002	"And pray, sir, what in the world is equal to it?"
chapter-002	"How far off?"
chapter-002	"Where away?"
chapter-002	Do you see that whale now?"
chapter-002	Mr. Chace, what is the matter?"
chapter-012	And what do I wish that this Queequeg would do to me?
chapter-012	But what is worship?
chapter-012	How then could I unite with this wild idolator in worshipping his piece of wood?
chapter-032	How could one look at Ahab then, seated on that tripod of bones, without bethinking him of the royalty it symbolized?
chapter-032	What business have I with this pipe?
chapter-025	Know ye, now, Bulkington?
chapter-025	is all this agony so vain?
chapter-024	"Is that the way they heave in the marchant service?"
chapter-024	Captain Ahab is all ready-- just spoke to him-- nothing more to be got from shore, eh?
chapter-036	A problem?
chapter-036	Wherefore this difference?
chapter-049	"Where- away?"
chapter-053	Cape of Good Hope, do they call ye?
chapter-043	The subterranean miner that works in us all, how can one tell whither leads his shaft by the ever shifting, muffled sound of his pick?
chapter-043	What skiff in tow of a seventy- four can stand still?
chapter-043	Who does not feel the irresistible arm drag?
chapter-027	But the only thing to be considered here, is this-- what kind of oil is used at coronations?
chapter-027	Can it be, though, that they anoint it with a view of making its interior run well, as they anoint machinery?
chapter-027	How they use the salt, precisely-- who knows?
chapter-027	What then can it possibly be, but sperm oil in its unmanufactured, unpolluted state, the sweetest of all oils?
chapter-015	"Hallo, you sir,"cried the Captain, a gaunt rib of the sea, stalking up to Queequeg,"what in thunder do you mean by that?
chapter-015	"Now,"said Queequeg,"what you tink now,--Didn''t our people laugh?"
chapter-015	"What him say?"
chapter-015	Did n''t the people laugh?"
chapter-015	Do n''t you know you might have killed that chap?"
chapter-015	Was there ever such unconsciousness?
chapter-039	Dry heat upon my brow?
chapter-039	Is, then, the crown too heavy that I wear?
chapter-039	Swerve me?
chapter-039	Swerve me?
chapter-062	But why say more?
chapter-004	But go on, Ishmael, said I at last; do n''t you hear?
chapter-004	But what thinks Lazarus?
chapter-004	But"The Crossed Harpoons,"and"The Sword- Fish?"
chapter-004	Can he warm his blue hands by holding them up to the grand northern lights?
chapter-004	Where else but from Nantucket did those aboriginal whalemen, the Red- Men, first sally out in canoes to give chase to the Leviathan?
chapter-004	Would not Lazarus rather be in Sumatra than here?
chapter-004	go down to the fiery pit itself, in order to keep out this frost?
chapter-004	thought I, ha, as the flying particles almost choked me, are these ashes from that destroyed city, Gomorrah?
chapter-034	"Will he( the leviathan) make a covenant with thee?
chapter-034	How then?
chapter-034	Nay; what thing, for example, is there in the Greenland whale''s anatomy more striking than his baleen?
chapter-034	Next: how shall we define the whale, by his obvious externals, so as conspicuously to label him for all time to come?
chapter-034	What then is the whale, which I include in the second species of my Folios?
chapter-034	What then remains?
chapter-045	Did you hear that noise, Cabaco?
chapter-045	Take the bucket, will ye, Archy?
chapter-045	did you hear that noise, Cabaco?
chapter-045	have done, shipmate, will ye?
chapter-045	what noise d''ye mean?
chapter-054	"Swim away from me, do ye?"
chapter-054	Have ye seen the White Whale?"
chapter-054	There is much in that sound to inspire proud feelings; but whereto does all that circumnavigation conduct?
chapter-060	Wherein differ the sea and the land, that a miracle upon one is not a miracle upon the other?
chapter-041	A brave stave that-- who calls?
chapter-041	Mr. Starbuck?
chapter-041	Well, Stubb, wise Stubb-- that''s my title-- well, Stubb, what of it, Stubb?
chapter-041	What''s my juicy little pear at home doing now?
chapter-041	Why so?
chapter-082	Under all these circumstances, would it be unreasonable to survey and map out the whale''s spine phrenologically?
chapter-057	As for the sign- painters''whales seen in the streets hanging over the shops of oil- dealers, what shall be said of them?
chapter-057	Of course, he never had the benefit of a whaling voyage( such men seldom have), but whence he derived that picture, who can tell?
chapter-057	What shall be said of these?
chapter-057	Where did Guido get the model of such a strange creature as that?
chapter-055	--the same way that whalers hail--"How many barrels?"
chapter-055	And as for Pirates, when they chance to cross each other''s cross- bones, the first hail is--"How many skulls?"
chapter-055	But what is a Gam?
chapter-055	What does the whaler do when she meets another whaler in any sort of decent weather?
chapter-070	The question is, what and where is the skin of the whale?
chapter-070	What would become of a Greenland whale, say, in those shuddering, icy seas of the north, if unsupplied with his cosy surtout?
chapter-072	"Aye?
chapter-072	"That lively cry upon this deadly calm might almost convert a better man.--Where away?"
chapter-072	Do you not marvel, then, at Stubb''s boast, that he demanded but ten minutes to behead a sperm whale?
chapter-073	"Can''st not read it?"
chapter-073	"Hast thou seen the White Whale?"
chapter-073	Aye, aye it''s but a dim scrawl;--what''s this?"
chapter-086	What then remained?
chapter-096	If he cuts off one of his own toes, or one of his assistants'', would you be very much astonished?
chapter-061	"What was it, Sir?"
chapter-061	It seemed not a whale; and yet is this Moby Dick?
chapter-047	In fact, did you ever hear what might be called regular news direct or indirect from New Guinea?
chapter-047	King of Japan, whose lofty jet they say at times assumed the semblance of a snow- white cross against the sky?
chapter-047	Was not Saul of Tarsus converted from unbelief by a similar fright?
chapter-047	thou terror of all cruisers that crossed their wakes in the vicinity of the Tattoo Land?
chapter-019	"He hain''t been a sittin''so all day, has he?"
chapter-019	"Queequeg,"said I, going up to him,"Queequeg, what''s the matter with you?"
chapter-019	"What''s the matter with you, young man?"
chapter-019	"What''s the matter with you?
chapter-019	Has the poor lad a sister?
chapter-019	Kill?
chapter-019	There was Queequeg, now, certainly entertaining the most absurd notions about Yojo and his Ramadan;--but what of that?
chapter-019	What''s that noise there?
chapter-019	What''s the matter with you, shipmate?"
chapter-019	cried I,"which way to it?
chapter-019	why do n''t you speak?
chapter-084	If I claim the demigod then, why not the prophet?
chapter-084	Was not this Vishnoo a whaleman, then?
chapter-084	What club but the whaleman''s can head off like that?
chapter-084	even as a man who rides a horse is called a horseman?
chapter-088	But if I know not even the tail of this whale, how understand his head?
chapter-088	much more, how comprehend his face, when face he has none?
chapter-080	But, peradventure, it may be sagaciously urged, how is this?
chapter-080	How many, think ye, have likewise fallen into Plato''s honey head, and sweetly perished there?
chapter-080	How will that help him; jamming that iron- bound bucket on top of his head?
chapter-080	Now, how had this noble rescue been accomplished?
chapter-081	But how?
chapter-081	Genius in the Sperm Whale?
chapter-081	Has the Sperm Whale ever written a book, spoken a speech?
chapter-095	But had Stubb really abandoned the poor little negro to his fate?
chapter-095	Snatching the boat- knife from its sheath, he suspended its sharp edge over the line, and turning towards Stubb, exclaimed interrogatively, cut?
chapter-095	who can tell it?
chapter-078	But clear Truth is a thing for salamander giants only to encounter; how small the chances for the provincials then?
chapter-078	What befel the weakling youth lifting the dread goddess''s veil at Lais?
chapter-078	When two large, loaded Indiamen chance to crowd and crush towards each other in the docks, what do the sailors do?
chapter-031	"Am I a cannon- ball, Stubb,"said Ahab,"that thou wouldst wad me that fashion?
chapter-031	Ai n''t that queer, now?
chapter-031	But how''s that?
chapter-031	By the Lord, I must have been dreaming, though-- How?
chapter-031	Stop, Stubb; somehow, now, I do n''t well know whether to go back and strike him, or-- what''s that?--down here on my knees and pray for him?
chapter-031	What the devil''s the matter with me?
chapter-031	Who''s made appointments with him in the hold?
chapter-031	did n''t he call me a dog?
chapter-031	how?
chapter-031	is he mad?
chapter-051	"Ca n''t you twist that smaller?"
chapter-051	I suppose then, that going plump on a flying whale with your sail set in a foggy squall is the height of a whaleman''s discretion?"
chapter-103	Did I say we had flip?
chapter-103	Flip?
chapter-107	But will any whaleman believe these stories?
chapter-107	DOES THE WHALE''S MAGNITUDE DIMINISH?--WILL HE PERISH?
chapter-114	Oh, Death, why canst thou not sometimes be timely?
chapter-114	Why tell the whole?
chapter-071	Are you a believer in ghosts, my friend?
chapter-117	"Hast seen the White Whale?"
chapter-117	Hast lost any men?"
chapter-076	How is it, then, with the whale?
chapter-076	Not at all.--Why then do you try to"enlarge"your mind?
chapter-077	Can you catch the expression of the Sperm Whale''s there?
chapter-077	Does not this whole head seem to speak of an enormous practical resolution in facing death?
chapter-077	is this the road that Jonah went?
chapter-126	"Heading East at this hour in the morning, and the sun astern?"
chapter-026	And who composed the first narrative of a whaling- voyage?
chapter-026	And who pronounced our glowing eulogy in Parliament?
chapter-026	How comes all this, if there be not something puissant in whaling?
chapter-026	No dignity in whaling?
chapter-026	No good blood in their veins?
chapter-026	The whale never figured in any grand imposing way?
chapter-026	The whale no famous author, and whaling no famous chronicler?
chapter-026	Whaling not respectable?
chapter-026	Who wrote the first account of our Leviathan?
chapter-026	Why did Britain between the years 1750 and 1788 pay to her whalemen in bounties upwards of 1,000,000?
chapter-026	Why did the Dutch in De Witt''s time have admirals of their whaling fleets?
chapter-011	''I seek a passage in this ship to Tarshish; how soon sail ye, sir?''
chapter-011	''No sooner, sir?''
chapter-011	''What is thine occupation?
chapter-011	''Who''s there?''
chapter-011	And what was that, shipmates?
chapter-011	And where is Cadiz, shipmates?
chapter-011	But what is this lesson that the book of Jonah teaches?
chapter-011	Fear him, O Jonah?
chapter-011	Is not the main- truck higher than the kelson is low?
chapter-011	See ye not then, shipmates, that Jonah sought to flee world- wide from God?
chapter-011	Thy country?
chapter-011	What people?''
chapter-011	Whence comest thou?
chapter-011	Yet this is nothing; I leave eternity to Thee; for what is man that he should live out the lifetime of his God?"
chapter-011	cries the Captain at his busy desk, hurriedly making out his papers for the Customs--''Who''s there?''
chapter-124	What''s the use of thunder?
chapter-098	"All ready there?
chapter-098	what is the matter with me?
chapter-085	But was there no other way for the whale to land the prophet within that short distance of Nineveh?
chapter-085	How is that?
chapter-017	"A clam for supper?
chapter-017	"But look, Queequeg, ai n''t that a live eel in your bowl?
chapter-017	"Clam or Cod?"
chapter-017	"Queequeg,"said I,"do you think that we can make out a supper for us both on one clam?"
chapter-017	"What''s that about Cods, ma''am?"
chapter-017	"Why not?"
chapter-017	Are these last throwing out oblique hints touching Tophet?
chapter-017	But the chowder; clam or cod to- morrow for breakfast, men?"
chapter-017	Hussey?"
chapter-017	We resumed business; and while plying our spoons in the bowl, thinks I to myself, I wonder now if this here has any effect on the head?
chapter-017	What''s that stultifying saying about chowder- headed people?
