trigram	frequency
some in their	7
for my sake	6
do not so	5
is my love	5
that i have	5
i have seen	5
why dost thou	5
mine eye and	5
my love is	5
i love thee	5
eye and heart	4
as fast as	4
thy sweet self	4
is in my	4
when i have	4
that you were	4
where thou art	4
mine eye is	4
that i do	4
that which thou	4
in my mind	4
against that time	4
as thou art	4
that i am	4
and in my	4
how much more	3
thou canst not	3
beauty of thy	3
so long as	3
for thou art	3
mourn for me	3
in the spring	3
love is as	3
the wide world	3
never can be	3
can i then	3
my love shall	3
i haste me	3
i have sworn	3
my heart to	3
take all my	3
thy self thy	3
time do i	3
laid by his	3
when in the	3
do i not	3
that i in	3
that i was	3
for my love	3
when thou shalt	3
i am old	3
i never saw	3
how can i	3
should he live	3
is it thy	3
have i seen	3
not be so	3
is as a	3
when thou art	3
so shall i	3
not thy show	3
that tongue that	3
in my verse	3
the expense of	3
the treasure of	3
do thy worst	3
that thou mayst	3
in the world	3
with all these	3
is not so	3
some say thy	3
how to make	3
that which it	3
hast thou this	3
thy glass will	3
the beauty of	3
what they see	3
in my head	3
when i am	3
thee that i	3
to make me	3
of my heart	3
that tells the	3
think on thee	3
for i have	3
it is not	3
i may not	3
thou art as	3
and all my	3
my sinful earth	3
thou shalt not	2
which thou hast	2
oft when thou	2
shall be thy	2
was it the	2
too dear for	2
to thee i	2
thou hast her	2
nor boundless sea	2
in me thou	2
in faith i	2
are at a	2
that he is	2
sworn thee fair	2
muse want subject	2
make the shame	2
thou art the	2
own hand painted	2
winters shall besiege	2
and to his	2
but as the	2
mine own love	2
as pitying me	2
loves i have	2
i come so	2
thee with mine	2
nor dare i	2
supposing thou art	2
vile than vile	2
say thy fault	2
for that which	2
which can say	2
as with that	2
waves make towards	2
will be a	2
of my sinful	2
have of comfort	2
part of me	2
fault is youth	2
winter hath my	2
cheek the map	2
thy proud heart	2
you did painting	2
come so near	2
infection should he	2
in such sort	2
truth and beauty	2
since i left	2
on the way	2
by his brand	2
am i as	2
from fairest creatures	2
that is so	2
i been absent	2
shall i compare	2
blunt thou the	2
steal thyself away	2
the prophetic soul	2
thou didst forsake	2
and thee i	2
how thy beauties	2
glass shall not	2
made me first	2
appetite more keen	2
for thy sake	2
so oft have	2
my thoughts as	2
mine own desert	2
i love you	2
then return in	2
doth the impression	2
for love of	2
thou blind fool	2
in manners holds	2
your slave what	2
marriage of true	2
made of truth	2
me first your	2
eye is in	2
weak in seeming	2
heart are at	2
with fortune chide	2
thee for my	2
the stars do	2
is his cheek	2
with infection should	2
have seen by	2
that fell arrest	2
father takes delight	2
thee in such	2
not so much	2
make our appetite	2
must be twain	2
pity doth the	2
and to be	2
too young to	2
boast that i	2
to steal thyself	2
to my thoughts	2
when in disgrace	2
and lovely dost	2
thou to mine	2
of all thy	2
in time to	2
forward violet thus	2
i my judgement	2
for restful death	2
with the time	2
what should i	2
wise as thou	2
many a glorious	2
but the child	2
i think on	2
all the world	2
i then return	2
some glory in	2
in happy plight	2
thy breast doth	2
the pebbled shore	2
to me i	2
mine own self	2
shall live your	2
the clock that	2
my lovely boy	2
befriends me now	2
what eyes hath	2
with gentle work	2
not mine own	2
dost thou to	2
two loves i	2
i have scanted	2
to the heart	2
how careful was	2
the centre of	2
shall be as	2
whoever hath her	2
that thou hast	2
shall i live	2
when the gracious	2
if thy soul	2
as i am	2
the eye of	2
so are you	2
in loving thee	2
love and pity	2
to the marriage	2
parts of thee	2
and to the	2
that you yourself	2
thy glass and	2
a mortal war	2
so foul a	2
for me when	2
that is in	2
how i faint	2
treasure of thy	2
in favour with	2
when that fell	2
have i not	2
wherefore with infection	2
but be contented	2
those parts of	2
and fell asleep	2
world should task	2
for my possessing	2
my love be	2
lest the world	2
from the stars	2
persuade me i	2
deny that thou	2
thou this powerful	2
not persuade me	2
love put in	2
of thy love	2
grant thou wert	2
of his great	2
writ do lie	2
food to life	2
lovely dost thou	2
cupid laid by	2
my sake do	2
violet thus did	2
nothing like the	2
young to know	2
let not my	2
worth with manners	2
the sessions of	2
more weak in	2
a fever longing	2
heavy do i	2
loving thee thou	2
if my dear	2
make towards the	2
that i come	2
of thy days	2
the strength of	2
have writ do	2
thy dear virtue	2
thus can my	2
sessions of sweet	2
and thou shalt	2
wherefore do not	2
thy beauties wear	2
i before have	2
task you to	2
thou muse that	2
map of days	2
fever longing still	2
nor the gilded	2
my friend and	2
haste me to	2
where art thou	2
you with fortune	2
that says most	2
not all my	2
of the dead	2
waste of shame	2
you were once	2
for fear of	2
is not all	2
that which is	2
with thy tongue	2
faint when i	2
expense of spirit	2
no longer mourn	2
against my love	2
love is too	2
will believe my	2
being full of	2
can say more	2
glory in their	2
when forty winters	2
thy worst to	2
my love excuse	2
mine eye hath	2
do but tend	2
thou being mine	2
shalt not boast	2
excuse the slow	2
the earth can	2
thou hast done	2
old age black	2
that which i	2
wrongs that liberty	2
of wasted time	2
the old age	2
can my muse	2
it thy will	2
thou mayst in	2
with too much	2
mayst in me	2
love thee in	2
me i am	2
the waves make	2
first your slave	2
me i bore	2
confess that we	2
comfort and despair	2
is my verse	2
the proud full	2
bosom is endeared	2
be as i	2
actor on the	2
is thy good	2
what power hast	2
the better part	2
the forward violet	2
compare thee to	2
and i am	2
how oft when	2
image should keep	2
weary with toil	2
what shall be	2
live in this	2
possesseth all mine	2
the face thou	2
in my sight	2
wert not married	2
did call upon	2
it for fear	2
but do thy	2
i am not	2
what poverty my	2
holds her still	2
of the time	2
who will believe	2
not counted fair	2
me for some	2
tied muse in	2
you to recite	2
a league is	2
shall not persuade	2
of thy mind	2
to make our	2
centre of my	2
lying once asleep	2
those lines that	2
i took my	2
love thee with	2
in their birth	2
