identifier	question
shakespeare-sonnets_03	For where is she so fair whose unear''d womb Disdains the tillage of thy husbandry?
shakespeare-sonnets_03	Or who is he so fond will be the tomb, Of his self- love to stop posterity?
shakespeare-sonnets_04	Profitless usurer, why dost thou use So great a sum of sums, yet canst not live?
shakespeare-sonnets_04	Unthrifty loveliness, why dost thou spend Unthrifty loveliness, why dost thou spend Upon thy self thy beauty''s legacy?
shakespeare-sonnets_09	Is it for fear to wet a widow''s eye Is it for fear to wet a widow''s eye, That thou consum''st thy self in single life?
shakespeare-sonnets_08	Music to hear, why hear''st thou music sadly?
shakespeare-sonnets_08	Music to hear, why hear''st thou music sadly?
shakespeare-sonnets_08	Sweets with sweets war not, joy delights in joy: Why lov''st thou that which thou receiv''st not gladly, Or else receiv''st with pleasure thine annoy?
shakespeare-sonnets_100	C. Where art thou Muse that thou forget''st so long Where art thou Muse that thou forget''st so long, To speak of that which gives thee all thy might?
shakespeare-sonnets_100	Spend''st thou thy fury on some worthless song, Darkening thy power to lend base subjects light?
shakespeare-sonnets_101	Because he needs no praise, wilt thou be dumb?
shakespeare-sonnets_101	O truant Muse what shall be thy amends O truant Muse what shall be thy amends For thy neglect of truth in beauty dy''d?
shakespeare-sonnets_103	Were it not sinful then, striving to mend, To mar the subject that before was well?
shakespeare-sonnets_108	What''s in the brain, that ink may character What''s in the brain, that ink may character, Which hath not figur''d to thee my true spirit?
shakespeare-sonnets_108	What''s new to speak, what now to register, That may express my love, or thy dear merit?
shakespeare-sonnets_10	change thy thought, that I may change my mind: Shall hate be fairer lodg''d than gentle love?
shakespeare-sonnets_114	Or whether doth my mind, being crown''d with you Or whether doth my mind, being crown''d with you, Drink up the monarch''s plague, this flattery?
shakespeare-sonnets_115	Love is a babe, then might I not say so, To give full growth to that which still doth grow?
shakespeare-sonnets_121	Or on my frailties why are frailer spies, Which in their wills count bad what I think good?
shakespeare-sonnets_133	Is''t not enough to torture me alone, But slave to slavery my sweet''st friend must be?
shakespeare-sonnets_135	Shall will in others seem right gracious, And in my will no fair acceptance shine?
shakespeare-sonnets_135	Wilt thou, whose will is large and spacious, Not once vouchsafe to hide my will in thine?
shakespeare-sonnets_138	And wherefore say not I that I am old?
shakespeare-sonnets_137	Or mine eyes, seeing this, say this is not, To put fair truth upon so foul a face?
shakespeare-sonnets_137	Thou blind fool, Love, what dost thou to mine eyes Thou blind fool, Love, what dost thou to mine eyes, That they behold, and see not what they see?
shakespeare-sonnets_137	Why should my heart think that a several plot, Which my heart knows the wide world''s common place?
shakespeare-sonnets_146	Is this thy body''s end?
shakespeare-sonnets_146	Shall worms, inheritors of this excess, Eat up thy charge?
shakespeare-sonnets_146	Why so large cost, having so short a lease, Dost thou upon thy fading mansion spend?
shakespeare-sonnets_148	If it be not, then love doth well denote Love''s eye is not so true as all men''s: no, How can it?
shakespeare-sonnets_148	If that be fair whereon my false eyes dote, What means the world to say it is not so?
shakespeare-sonnets_148	how can Love''s eye be true, That is so vexed with watching and with tears?
shakespeare-sonnets_149	Do I not think on thee, when I forgot Am of my self, all tyrant, for thy sake?
shakespeare-sonnets_149	say I love thee not, When I against myself with thee partake?
shakespeare-sonnets_150	To make me give the lie to my true sight, And swear that brightness doth not grace the day?
shakespeare-sonnets_150	Who taught thee how to make me love thee more, The more I hear and see just cause of hate?
shakespeare-sonnets_150	from what power hast thou this powerful might, With insufficiency my heart to sway?
shakespeare-sonnets_151	Love is too young to know what conscience is Love is too young to know what conscience is, Yet who knows not conscience is born of love?
shakespeare-sonnets_16	And fortify your self in your decay With means more blessed than my barren rhyme?
shakespeare-sonnets_16	But wherefore do not you a mightier way But wherefore do not you a mightier way Make war upon this bloody tyrant, Time?
